Year,CO,NO,NO2,NOX,O3,PM10G,PM10S,PM25G,PM25S,SO2,TSP
2000,,0.0,1.8506666666666665,,,,,,,0.4013333333333334,0.0
2001,0.6727413333333333,20.642283000000003,19.855563333333333,,55.619800000000005,,,,,1.69198,20.131733333333333
2002,0.3457226666666667,11.142057333333332,9.317273333333333,,31.063733333333335,,,,,0.38910216666666664,4.215550666666667
2003,0.43829666666666667,14.844645666666667,15.020653333333335,,49.6446,,,,,1.0981513333333335,19.2312
2004,0.19899733333333333,3.3505933333333333,2.535924,,35.42686666666667,,,,,0.48199766666666666,19.436953333333335
2005,0.541608,0.6305099999999999,1.8439766666666666,,38.9228,26.707,,,0.0,0.0,
2006,0.43831666666666663,14.506525,16.641493333333333,,0.0,38.451,34.97326666666666,,0.0,0.574538,
2007,0.25517466666666666,7.1053,8.353826666666667,,,27.52,26.031093333333335,21.063,21.21951333333333,,
2008,0.0,13.490266666666665,17.746533333333332,,57.977133333333335,29.724,22.213733333333334,,19.68207333333333,1.9676266666666669,
2009,0.3621513333333333,0.652101,2.707613333333333,,0.0,22.371,12.64132,16.049,5.861386666666666,0.9813866666666667,
2010,0.32799333333333336,0.42703066666666667,2.5432166666666665,,50.947066666666665,34.179,27.025733333333335,22.336,30.150133333333333,0.0,
2011,0.0,6.421204666666667,14.634956666666668,,54.6504,29.822,28.209266666666668,22.411,19.974733333333333,2.59204,
2012,0.0,5.537426666666667,9.373433333333333,,24.552200000000003,27.022,33.322266666666664,21.582,27.8624,1.1265666666666667,
2013,0.0,2.345066666666667,4.647670000000001,,41.400200000000005,14.064,7.4942400000000005,8.683,4.966386666666667,1.77846,
2014,0.23823266666666665,6.594046666666666,12.01999111111111,,0.0,27.693000000000005,19.466833333333334,18.756,15.754766666666667,1.5691666666666666,
2015,0.09720733333333334,4.354324888888889,8.617917777777778,,0.0,14.4995,10.066823333333332,9.189,7.672933333333333,0.8472833333333334,
2016,0.11359166666666667,0.18880244444444447,1.4188377777777779,,32.200266666666664,13.593,16.254166666666666,10.756,14.040866666666666,0.7621300000000001,
2017,0.15227633333333332,5.31117111111111,6.749680000000001,,0.0,6.52,4.206236666666666,3.86,2.4774399999999996,1.1120966666666667,
2018,0.08779266666666666,1.7091133333333335,7.768655555555557,,0.0,30.542,28.996166666666667,19.144,16.356033333333333,0.7770533333333333,
2019,0.22039233333333333,5.864878977777778,9.677966666666666,,46.6454,21.916,17.190866666666665,15.875499999999999,14.293183333333333,0.6141866666666667,
2021,2.3634138888888887,1.5190816311111115,6.2687284375,0.264975125,42.20766666666667,13.935500000000001,8.455553333333333,8.245162125,6.220316666666667,0.007814666666666666,
2022,11.038677562499998,74.999375,13.770677156249999,0.0,,,,6.02916175,,0.5593855,
2023,17.46487425,104.835625,11.451510166666665,0.3879565,,,,10.931837,,1.18697875,
2024,9.66999,86.689375,8.1322348125,0.010825625,,,,7.5424215625,,2.1747655,
2025,7.378702625,88.695,7.32839478125,0.383233875,,,,3.5186995000000003,,1.38368075,
2026,21.900124625,89.024875,23.9983255625,1.847486125,,,,11.4585214375,,0.0,
